##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	ege_1765750669_SRR24940081.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2268524
Total Bases	539.3 Mbp
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	65-69	0.1696531968304953
1104	70-74	0.1558523696452454
1104	75-79	0.13471562482186528
1104	80-84	0.2849364831299681
1104	85-89	0.12752797873577038
1104	90-94	0.07969336062601684
1104	95-99	0.08359943544340354
1104	100-104	0.2653011941658221
1104	105-109	0.13114919060143393
1104	110-114	0.1788545809925779
1104	115-119	0.15414853188266164
1104	120-124	0.154851457362291
1104	125-129	0.07557417943237965
1104	130-134	0.21052703652045324
1104	135-139	0.09393338245752147
1104	140-144	0.08684336791701242
1104	145-149	0.060497966089855026
1104	150-154	0.10799218659205678
1104	155-159	-0.008223823383019635
1104	160-164	0.1120755468628829
1104	165-169	0.22340198290060442
1104	170-174	0.3843315537120944
1104	175-179	0.036959365530847776
1104	180-184	-0.07423117758172992
1104	185-189	0.06997520227095322
1104	190-194	-0.09334848014359665
1104	195-199	-0.05874537222506149
1104	200-204	-0.013116505126269828
1104	205-209	0.024516939803568505
1104	210-214	0.36821462592940435
1104	215-219	0.544443914427525
1104	220-224	0.4155238437090709
1104	225-229	-0.15501922872742924
1104	230-234	0.4577468170647556
1104	235-239	0.5115401412528335
1104	240-244	0.5335152992348533
1104	245-249	0.045453622348460954
1104	250-251	0.06547880236803749
1105	1	-0.09464540762012774
1105	2	0.006613233219688652
1105	3	0.0395710542611738
1105	4	-0.007888127856908511
1105	5	0.045457811827489536
1105	6	0.05559201333885255
1105	7	0.10055702432725866
1105	8	0.25753857375762124
1105	9	-0.15759380968548697
1105	10-14	0.1528988035250336
1105	15-19	0.06343853992597559
1105	20-24	0.11306638505306665
1105	25-29	0.031538783249679625
1105	30-34	0.0014876707016853175
1105	35-39	0.06594308074230071
1105	40-44	0.17568750735776462
1105	45-49	0.06833938518573746
1105	50-54	0.016193135333978148
1105	55-59	0.12211675118491172
1105	60-64	0.1891456590515901
1105	65-69	0.20217295104492905
1105	70-74	0.10847722622354894
1105	75-79	0.1551813953139458
1105	80-84	0.3170131521284105
1105	85-89	0.050794088031388185
1105	90-94	0.10770541231455155
1105	95-99	0.14695841397632137
1105	100-104	0.4404334932437308
1105	105-109	0.2742492514028072
1105	110-114	0.10631744914169872
